epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9671.19,1.13135,0.75994,1.14753,0.91462,0.90195,0.9423,0.66187,1.22554,0.58699,1.20311,0.00613429,0.00613429,0.00613429
43,9900.1,1.13855,0.7644,1.1479,0.91196,0.90317,0.94299,0.66338,1.22529,0.58493,1.20382,0.00604,0.00604,0.00604
44,10125.8,1.1373,0.76805,1.15195,0.915,0.89672,0.94257,0.66522,1.22423,0.58335,1.20432,0.00594571,0.00594571,0.00594571
45,10350.6,1.1236,0.75308,1.14364,0.91245,0.8984,0.9408,0.66371,1.22121,0.58222,1.20117,0.00585143,0.00585143,0.00585143
46,10575.5,1.12264,0.7455,1.14276,0.9173,0.89753,0.9409,0.66376,1.21983,0.57974,1.19984,0.00575714,0.00575714,0.00575714
47,10801.2,1.12048,0.74281,1.14078,0.91888,0.89679,0.94142,0.66554,1.2176,0.57936,1.19834,0.00566286,0.00566286,0.00566286
48,11032.3,1.1141,0.74241,1.141,0.90666,0.90655,0.94223,0.66599,1.21643,0.57676,1.19781,0.00556857,0.00556857,0.00556857
49,11261.8,1.11296,0.74112,1.13813,0.90652,0.90635,0.94254,0.66691,1.21457,0.5759,1.19713,0.00547429,0.00547429,0.00547429
50,11486.7,1.10358,0.72738,1.13552,0.90793,0.90837,0.94289,0.66802,1.21329,0.57355,1.19553,0.00538,0.00538,0.00538
51,11713.1,1.10384,0.72615,1.13475,0.90371,0.91392,0.94388,0.66884,1.21157,0.57063,1.19461,0.00528571,0.00528571,0.00528571
52,11939.5,1.10149,0.72281,1.12909,0.9006,0.91525,0.9434,0.67026,1.21002,0.5693,1.19398,0.00519143,0.00519143,0.00519143
53,12163.7,1.09119,0.71546,1.12673,0.90204,0.9146,0.94361,0.67133,1.20913,0.56708,1.19248,0.00509714,0.00509714,0.00509714
54,12388.4,1.08645,0.71376,1.1219,0.90238,0.91521,0.94363,0.67231,1.20804,0.56638,1.19154,0.00500286,0.00500286,0.00500286
55,12612.8,1.08613,0.70686,1.12172,0.90176,0.91411,0.94388,0.67287,1.20603,0.56471,1.19034,0.00490857,0.00490857,0.00490857
56,12838.6,1.08857,0.70373,1.11973,0.9069,0.91429,0.94565,0.67361,1.20502,0.56292,1.19019,0.00481429,0.00481429,0.00481429
57,13063.9,1.07291,0.69878,1.11729,0.90923,0.91352,0.94566,0.67406,1.20418,0.56156,1.19004,0.00472,0.00472,0.00472
58,13291.8,1.07033,0.69035,1.11491,0.9097,0.91573,0.94605,0.67413,1.20255,0.56024,1.18938,0.00462571,0.00462571,0.00462571
59,13518,1.07121,0.69001,1.11658,0.9115,0.91618,0.94627,0.67496,1.20148,0.55942,1.18877,0.00453143,0.00453143,0.00453143
60,13741.8,1.07193,0.69061,1.11431,0.91231,0.91401,0.94639,0.67675,1.20076,0.55836,1.18871,0.00443714,0.00443714,0.00443714
61,13967.2,1.05209,0.67825,1.10641,0.91146,0.91271,0.94662,0.67723,1.19989,0.55695,1.18848,0.00434286,0.00434286,0.00434286
62,14190.1,1.05682,0.68253,1.10927,0.91253,0.91241,0.94705,0.67758,1.19849,0.55648,1.18785,0.00424857,0.00424857,0.00424857
63,14415.3,1.05049,0.67159,1.10503,0.90739,0.91979,0.94636,0.67732,1.19754,0.55562,1.18745,0.00415429,0.00415429,0.00415429
64,14639.5,1.04273,0.67181,1.10084,0.906,0.9223,0.94682,0.67761,1.19711,0.55537,1.18721,0.00406,0.00406,0.00406
65,14865.6,1.04123,0.66217,1.09721,0.90536,0.92413,0.94677,0.67833,1.19634,0.55456,1.18691,0.00396571,0.00396571,0.00396571
66,15090.1,1.03628,0.65558,1.09876,0.90908,0.92218,0.94751,0.67885,1.19588,0.554,1.18655,0.00387143,0.00387143,0.00387143
67,15314.6,1.03618,0.66069,1.09522,0.90967,0.92061,0.948,0.67953,1.19528,0.55372,1.18634,0.00377714,0.00377714,0.00377714
68,15538.9,1.02522,0.65,1.08992,0.91237,0.92041,0.94749,0.68023,1.19497,0.55325,1.18613,0.00368286,0.00368286,0.00368286
69,15761.9,1.02195,0.64404,1.09014,0.91298,0.92002,0.94725,0.67985,1.19431,0.55298,1.18594,0.00358857,0.00358857,0.00358857
70,15986.4,1.01904,0.64113,1.08576,0.91361,0.92015,0.94717,0.68071,1.19419,0.55247,1.18622,0.00349429,0.00349429,0.00349429
71,16208.8,1.01895,0.6423,1.08467,0.9149,0.91994,0.94749,0.68146,1.19335,0.55159,1.18608,0.0034,0.0034,0.0034
72,16433,1.01011,0.6348,1.08091,0.91662,0.91951,0.94708,0.68226,1.19258,0.55126,1.18589,0.00330571,0.00330571,0.00330571
73,16656.2,1.00623,0.63247,1.08115,0.91542,0.91989,0.94711,0.68288,1.1918,0.55032,1.18532,0.00321143,0.00321143,0.00321143
74,16880.6,0.99486,0.63005,1.081,0.91509,0.91947,0.94631,0.68285,1.19135,0.54972,1.18527,0.00311714,0.00311714,0.00311714
75,17106.1,0.99472,0.62394,1.07898,0.91337,0.92079,0.94748,0.68371,1.19057,0.54899,1.18485,0.00302286,0.00302286,0.00302286
76,17329.5,1.0026,0.62196,1.07597,0.91414,0.92106,0.94784,0.68424,1.18984,0.54806,1.18449,0.00292857,0.00292857,0.00292857
77,17554.1,0.99471,0.62137,1.07431,0.91402,0.92007,0.94747,0.68431,1.18923,0.54737,1.18426,0.00283429,0.00283429,0.00283429
